name,whg_id,whg_name,lng,lat,source,notes
Maiorca pressi,place:tgn:7008232,near Palma de Mallorca,2.65,39.566667,manual,"Variation probe matched a Moroccan place spelled similarly (Çokhra Al Mbwirka, near Casablanca). ""Maiorca pressi"" = approaching/near Mallorca; pinning to Palma alongside Maiorca."
Mare del Nord,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Bretagna,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Cartagena,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Gaeta,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Galizia,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Malta,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Palamós,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Portogallo,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Provenza,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Romania,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Sapienza,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Sicilia,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Spagna,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Tolone,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Tripoli,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Marsiglia pressi,place:gn:2995469,Marseille,5.38107,43.29695,auto-exonym,variation: Marseille
Mediterraneo,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mezzogiorno,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Palma di Maiorca,place:tgn:7008232,Palma de Mallorca,2.65,39.566667,auto-exonym,variation: Palma de Mallorca
Ponente,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Porto Alessandria d'Egitto,place:ohm:n2110541901,Alexandria,29.915669,31.200089,auto-exonym,variation: Alexandria
Porto Magno,place:wd:Q18509707,Magno,10.19937,45.70665,auto-strip-porto,variation: Magno
Porto Pisano,place:wd:Q3909173,Porto Pisano,10.346667,43.679722,auto-exonym,variation: Porto Pisano
Porto Torres,place:wd:Q18497102,Torres,12.36142,46.16747,auto-strip-porto,variation: Torres
Porto Venere,place:wd:Q18427108,Venere,13.64549,41.99101,auto-strip-porto,variation: Venere
Portofino,place:wd:Q33707987,Portofino,9.20937,44.30374,auto-exonym,variation: Portofino
Romania,,Medieval Romania (Byzantine/Aegean Greek territories),23.7275,37.9838,manual,In medieval Italian merchant usage Romania = the Latin/Byzantine Empire territories (mostly modern Greece and the Aegean). WHG matched the modern country (Transylvania). Athens is used as a representative point for the source PDF country tag Grecia.
n.s.,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
